regime,slots,d_model,dropout,alpha,n_seeds,bal_mean,bal_std,reg_mean,reg_std,irr_mean,irr_std,wug_reg_mean,wug_irr_mean
oversample,True,128,0.1,0.5,3,0.5741333333333333,0.04839600534479404,0.9464999999999999,0.0198234709372501,0.20176666666666665,0.08354258395173884,46.666666666666664,2.0
oversample,True,64,0.2,0.25,3,0.5728333333333334,0.03882709535019755,0.944,0.0058966091951222184,0.20176666666666665,0.08354258395173884,44.666666666666664,3.6666666666666665
natural,False,64,0.1,1.0,3,0.5681999999999999,0.061229649680526486,0.9629333333333333,0.010336504889629429,0.17346666666666666,0.11951277477045427,56.666666666666664,0.6666666666666666
oversample,True,64,0.1,1.0,3,0.5675,0.07310595051020131,0.9250000000000002,0.022224535990656817,0.21010000000000004,0.1647529362409059,50.0,1.0
natural,False,64,0.2,0.5,3,0.5655666666666667,0.05157735291126648,0.9577333333333334,0.017409288708426132,0.17346666666666666,0.11951277477045427,48.0,0.3333333333333333
natural,False,128,0.1,1.0,3,0.5611333333333334,0.03883250356767295,0.9413666666666667,0.015388740472609581,0.1809333333333333,0.07257315849081762,49.666666666666664,1.6666666666666667
natural,True,128,0.2,2.0,3,0.5602333333333332,0.0403281952650169,0.9603666666666667,0.010529165842237134,0.1601,0.07847630215549149,56.0,0.0
natural,False,128,0.3,0.25,3,0.5599333333333334,0.03566992196982399,0.9423,0.007979348344319856,0.17763333333333334,0.0647943155942968,50.0,0.3333333333333333
natural,False,128,0.3,0.5,3,0.5599333333333333,0.03401710354120902,0.9422666666666667,0.003655589327773735,0.17763333333333334,0.0647943155942968,51.666666666666664,0.3333333333333333
natural,True,128,0.3,1.0,3,0.5576666666666666,0.061067530925470806,0.9594333333333335,0.010913447362466806,0.15593333333333334,0.12658737430460168,54.0,0.6666666666666666
oversample,True,128,0.1,1.0,3,0.5564333333333334,0.052147515121368254,0.9362,0.004288356328478289,0.17676666666666666,0.10717678542171961,51.333333333333336,2.6666666666666665
natural,True,128,0.3,2.0,3,0.5554666666666667,0.0367668782103313,0.9509,0.005256424640380548,0.1601,0.07847630215549149,50.0,2.3333333333333335
natural,False,128,0.3,2.0,3,0.5542666666666667,0.06511008626421359,0.9526,0.005716642371182592,0.15593333333333334,0.12658737430460168,54.666666666666664,0.3333333333333333
oversample,False,128,0.1,2.0,3,0.5542333333333334,0.049361557241778084,0.9517333333333333,0.005776965754903986,0.15680000000000002,0.09375483987506993,53.333333333333336,0.0
natural,False,64,0.2,1.0,3,0.5524666666666667,0.0801110063183164,0.9698333333333333,0.008192883090422624,0.1351,0.15220390927962396,53.666666666666664,0.0
natural,False,128,0.2,1.0,3,0.5524333333333333,0.037607623340665,0.9448333333333334,0.005676559991168384,0.1601,0.07847630215549149,51.333333333333336,0.0
natural,True,64,0.2,0.25,3,0.5516,0.04396316640097708,0.9430666666666667,0.010304044513361438,0.1601,0.07847630215549149,50.0,0.3333333333333333
natural,False,64,0.1,0.5,3,0.5508000000000001,0.06592753597701041,0.9456666666666668,0.011360164318060462,0.15593333333333334,0.12658737430460168,52.333333333333336,0.3333333333333333
oversample,True,64,0.3,0.25,3,0.5505,0.013374228949737608,0.9025,0.02361016730139793,0.19846666666666668,0.047019180483429665,41.0,4.333333333333333
natural,True,64,0.3,0.5,3,0.5498666666666667,0.07378308297525478,0.9646333333333333,0.005519359866264666,0.1351,0.15220390927962396,53.666666666666664,0.3333333333333333
natural,True,128,0.2,1.0,3,0.5494333333333333,0.04371605349678005,0.9388,0.016784814565553037,0.1601,0.07847630215549149,50.0,2.3333333333333335
oversample,True,64,0.1,0.25,3,0.5486666666666667,0.043951943453428004,0.9164333333333333,0.01843945046180425,0.1809333333333333,0.07257315849081762,46.666666666666664,1.6666666666666667
oversample,True,128,0.1,2.0,3,0.5481666666666666,0.04696640643410279,0.9154666666666667,0.02677355660597474,0.1809333333333333,0.07257315849081762,48.666666666666664,3.3333333333333335
oversample,True,64,0.2,2.0,3,0.5477,0.05576459450224669,0.9103333333333333,0.042169459723042826,0.18510000000000001,0.07349170021165655,45.666666666666664,3.6666666666666665
natural,False,64,0.2,2.0,3,0.5458,0.04060886602701437,0.969,0.011652896635600917,0.1226,0.07036355590787038,55.666666666666664,0.3333333333333333
natural,True,64,0.1,0.5,3,0.5451,0.04641842306670921,0.9301666666666666,0.020347317595529234,0.1601,0.07847630215549149,53.0,2.6666666666666665
natural,False,64,0.2,0.25,3,0.5442333333333333,0.0760202823813049,0.9534333333333334,0.006958687615731374,0.1351,0.15220390927962396,52.333333333333336,0.6666666666666666
